,open,high,low,close,adjclose,volume,ticker
2020-01-01,513003.0,516907.3125,511971.78125,512853.96875,512853.96875,1322395074997,BTC-INR
2020-01-02,513023.28125,514302.40625,494834.96875,498416.75,498416.75,1484238993887,BTC-INR
2020-01-03,498342.4375,531793.1875,493609.6875,527076.25,527076.25,2017307990333,BTC-INR
2020-01-04,527111.5,532996.625,524538.0625,531796.125,531796.125,1323579350948,BTC-INR
2020-01-05,531781.4375,541400.625,531089.4375,531863.1875,531863.1875,1415543274095,BTC-INR
2020-01-06,531801.0625,558713.875,531717.9375,557805.0,557805.0,1671160912507,BTC-INR
2020-01-07,557766.4375,588557.5625,557733.8125,587512.375,587512.375,2070281271282,BTC-INR
2020-01-08,587385.9375,600555.6875,568201.1875,577281.125,577281.125,2262906174516,BTC-INR
2020-01-09,577455.0,577455.0,558355.625,560959.5625,560959.5625,1711981944091,BTC-INR
2020-01-10,560905.1875,579751.875,548658.9375,579751.875,579751.875,2038477021654,BTC-INR
2020-01-11,579442.125,583429.5,569787.375,570347.625,570347.625,1810994405350,BTC-INR
2020-01-12,570044.1875,581880.625,568326.75,581358.3125,581358.3125,1625280871582,BTC-INR
2020-01-13,581165.125,581710.9375,572483.125,576030.0,576030.0,1590191721617,BTC-INR
2020-01-14,575799.3125,629149.8125,575799.3125,625492.125,625492.125,3177269141934,BTC-INR
2020-01-15,625320.625,629353.625,613792.0625,622867.0,622867.0,2836232877784,BTC-INR
2020-01-16,623253.9375,625688.0625,609611.4375,619001.5,619001.5,2221902438919,BTC-INR
2020-01-17,619102.5,636434.3125,615706.8125,634351.875,634351.875,2584011354240,BTC-INR
2020-01-18,634222.1875,640259.875,627126.375,635330.25,635330.25,2297395017167,BTC-INR
2020-01-19,635233.375,651070.1875,612402.375,618567.375,618567.375,2431096034324,BTC-INR
2020-01-20,618452.75,621264.875,608360.3125,615025.9375,615025.9375,1877005934605,BTC-INR
2020-01-21,615121.75,624098.5,608810.25,622532.8125,622532.8125,1715254273782,BTC-INR
2020-01-22,622412.9375,626083.1875,613804.9375,617293.625,617293.625,1607091469955,BTC-INR
2020-01-23,617277.5625,617782.25,595042.5625,599645.0625,599645.0625,1838248044065,BTC-INR
2020-01-24,599577.4375,607112.75,589636.5625,602374.8125,602374.8125,1740193345513,BTC-INR
2020-01-25,601995.75,603303.375,591732.0,596840.9375,596840.9375,1401355746375,BTC-INR
2020-01-26,596595.75,613582.25,593820.3125,613184.875,613184.875,1581864168398,BTC-INR
2020-01-27,613219.0,641593.25,613219.0,636606.5625,636606.5625,2046852328192,BTC-INR
2020-01-28,636799.875,667903.9375,636508.625,666709.6875,666709.6875,2450580310745,BTC-INR
2020-01-29,666629.9375,670772.625,660460.75,664368.875,664368.875,2187976071614,BTC-INR
2020-01-30,664325.1875,682952.875,658255.3125,680558.6875,680558.6875,2317350204337,BTC-INR
2020-01-31,680510.0,681468.5,658971.25,668553.5,668553.5,2104393582428,BTC-INR
2020-02-01,668255.25,674902.1875,665887.25,671581.1875,671581.1875,1853444016821,BTC-INR
2020-02-02,671362.8125,677009.5625,659065.1875,668112.75,668112.75,2204724355910,BTC-INR
2020-02-03,668135.5625,684760.1875,659653.375,662852.0,662852.0,2206346592799,BTC-INR
