,open,high,low,close,adjclose,volume,ticker
2020-04-08,2.7207040786743164,3.2404980659484863,2.714643955230713,3.139040946960449,3.139040946960449,518682498,LINK-USD
2020-04-09,3.140662908554077,3.4494709968566895,3.1310269832611084,3.3216938972473145,3.3216938972473145,734770971,LINK-USD
2020-04-10,3.3222150802612305,3.3277111053466797,2.9744880199432373,3.217099905014038,3.217099905014038,748426338,LINK-USD
2020-04-11,3.217099905014038,3.424746036529541,3.0890181064605713,3.282313108444214,3.282313108444214,653196770,LINK-USD
2020-04-12,3.2870049476623535,3.589920997619629,3.186141014099121,3.4626119136810303,3.4626119136810303,712633668,LINK-USD
2020-04-13,3.467358112335205,3.467358112335205,3.307966947555542,3.369805097579956,3.369805097579956,663413131,LINK-USD
2020-04-14,3.3735289573669434,3.4381539821624756,3.230804920196533,3.236891984939575,3.236891984939575,497025727,LINK-USD
2020-04-15,3.2406930923461914,3.3065900802612305,3.128572940826416,3.1290149688720703,3.1290149688720703,425648503,LINK-USD
2020-04-16,3.1300110816955566,3.5157220363616943,3.0189900398254395,3.4686479568481445,3.4686479568481445,599436392,LINK-USD
2020-04-17,3.4748311042785645,3.5285449028015137,3.4103970527648926,3.477046012878418,3.477046012878418,431088440,LINK-USD
2020-04-18,3.478847026824951,3.801482915878296,3.476430892944336,3.783458948135376,3.783458948135376,517130842,LINK-USD
2020-04-19,3.7813539505004883,3.8063039779663086,3.5883378982543945,3.6375679969787598,3.6375679969787598,497819796,LINK-USD
2020-04-20,3.6364200115203857,3.782010078430176,3.431947946548462,3.458327054977417,3.458327054977417,511701400,LINK-USD
2020-04-21,3.454817056655884,3.57875394821167,3.432499885559082,3.4762790203094482,3.4762790203094482,386134896,LINK-USD
2020-04-22,3.474642038345337,3.696639060974121,3.460779905319214,3.6788148880004883,3.6788148880004883,419768838,LINK-USD
2020-04-23,3.6801540851593018,3.822026014328003,3.634202003479004,3.7250099182128906,3.7250099182128906,458394827,LINK-USD
2020-04-24,3.735023021697998,3.8946640491485596,3.731252908706665,3.804795026779175,3.804795026779175,356971612,LINK-USD
2020-04-25,3.804563045501709,3.8878579139709473,3.777780055999756,3.8030879497528076,3.8030879497528076,326366096,LINK-USD
2020-04-26,3.8024110794067383,3.8303370475769043,3.696692943572998,3.716778039932251,3.716778039932251,373262888,LINK-USD
2020-04-27,3.720202922821045,3.742609977722168,3.496061086654663,3.6418991088867188,3.6418991088867188,418502740,LINK-USD
2020-04-28,3.6429951190948486,3.736406087875366,3.595576047897339,3.6753249168395996,3.6753249168395996,336584772,LINK-USD
2020-04-29,3.6787478923797607,3.9638450145721436,3.646955966949463,3.906069040298462,3.906069040298462,479767865,LINK-USD
2020-04-30,3.9070420265197754,3.9627981185913086,3.680885076522827,3.7204771041870117,3.7204771041870117,469432714,LINK-USD
2020-05-01,3.7204771041870117,3.911731004714966,3.716373920440674,3.783184051513672,3.783184051513672,387173588,LINK-USD
2020-05-02,3.7818000316619873,3.868791103363037,3.767915964126587,3.8221828937530518,3.8221828937530518,312851882,LINK-USD
2020-05-03,3.8237080574035645,3.86879301071167,3.667546033859253,3.7221689224243164,3.7221689224243164,332486849,LINK-USD
2020-05-04,3.7209300994873047,3.825416088104248,3.5401060581207275,3.767899990081787,3.767899990081787,400808105,LINK-USD
2020-05-05,3.769418954849243,3.8041610717773438,3.6754629611968994,3.6876931190490723,3.6876931190490723,307442156,LINK-USD
2020-05-06,3.6819870471954346,3.7656490802764893,3.633852005004883,3.636457920074463,3.636457920074463,330568230,LINK-USD
2020-05-07,3.638045072555542,3.830075979232788,3.5780999660491943,3.7540180683135986,3.7540180683135986,415098619,LINK-USD
2020-05-08,3.7550249099731445,3.861372947692871,3.7058749198913574,3.8221089839935303,3.8221089839935303,394360542,LINK-USD
2020-05-09,3.8207449913024902,4.179734230041504,3.797805070877075,4.040320873260498,4.040320873260498,596770802,LINK-USD
2020-05-10,4.037355899810791,4.037355899810791,3.6007630825042725,3.761324882507324,3.761324882507324,614483574,LINK-USD
2020-05-11,3.763223886489868,3.822848081588745,3.409658908843994,3.5850648880004883,3.5850648880004883,465004956,LINK-USD
2020-05-12,3.5884149074554443,3.7906339168548584,3.559628963470459,3.6923739910125732,3.6923739910125732,358470475,LINK-USD
2020-05-13,3.6905040740966797,3.8023691177368164,3.668020009994507,3.7604238986968994,3.7604238986968994,319801650,LINK-USD
2020-05-14,3.7569820880889893,3.849008083343506,3.703131914138794,3.799386978149414,3.799386978149414,376043732,LINK-USD
2020-05-15,3.7984769344329834,3.8371920585632324,3.649991035461426,3.6746530532836914,3.6746530532836914,326992724,LINK-USD
2020-05-16,3.6731860637664795,3.78499698638916,3.6301538944244385,3.7600948810577393,3.7600948810577393,298753874,LINK-USD
2020-05-17,3.7584269046783447,3.8385770320892334,3.7553670406341553,3.7843289375305176,3.7843289375305176,324792191,LINK-USD
2020-05-18,3.784677028656006,3.941819906234741,3.782275915145874,3.885345935821533,3.885345935821533,384696302,LINK-USD
2020-05-19,3.884805917739868,3.922658920288086,3.7945010662078857,3.922476053237915,3.922476053237915,342003354,LINK-USD
2020-05-20,3.92220401763916,4.122751235961914,3.920516014099121,4.071049213409424,4.071049213409424,501477865,LINK-USD
2020-05-21,4.074099063873291,4.149264812469482,3.767086982727051,3.8477509021759033,3.8477509021759033,475890242,LINK-USD
2020-05-22,3.846107006072998,4.118733882904053,3.812580108642578,4.070281982421875,4.070281982421875,391293983,LINK-USD
2020-05-23,4.067676067352295,4.0972208976745605,3.926330089569092,3.9550609588623047,3.9550609588623047,350387118,LINK-USD
2020-05-24,3.953497886657715,4.02267599105835,3.8358569145202637,3.836322069168091,3.836322069168091,338608148,LINK-USD
2020-05-25,3.827349901199341,3.90187406539917,3.80216908454895,3.8699328899383545,3.8699328899383545,319542427,LINK-USD
2020-05-26,3.8683390617370605,3.88032603263855,3.788166046142578,3.8362770080566406,3.8362770080566406,294932100,LINK-USD
2020-05-27,3.8362770080566406,3.919543981552124,3.816481113433838,3.8577029705047607,3.8577029705047607,303730714,LINK-USD
2020-05-28,3.857870101928711,4.03584623336792,3.8404738903045654,4.025351047515869,4.025351047515869,317138604,LINK-USD
2020-05-29,4.028436183929443,4.107283115386963,3.9589080810546875,3.9865939617156982,3.9865939617156982,328730888,LINK-USD
2020-05-30,3.9881269931793213,4.16874885559082,3.9480950832366943,4.1684489250183105,4.1684489250183105,356995900,LINK-USD
2020-05-31,4.1679911613464355,4.259027004241943,4.063654899597168,4.129938125610352,4.129938125610352,378972618,LINK-USD
2020-06-01,4.1323018074035645,4.471899032592773,4.124889850616455,4.380641937255859,4.380641937255859,491355312,LINK-USD
2020-06-02,4.378785133361816,4.606598854064941,4.215248107910156,4.386834144592285,4.386834144592285,447755930,LINK-USD
2020-06-03,4.388883113861084,4.5350260734558105,4.32145881652832,4.490728855133057,4.490728855133057,347465695,LINK-USD
2020-06-04,4.489376068115234,4.5058488845825195,4.318118095397949,4.433020114898682,4.433020114898682,318417019,LINK-USD
2020-06-05,4.4333109855651855,4.488824844360352,4.3590850830078125,4.377437114715576,4.377437114715576,298753116,LINK-USD
2020-06-06,4.377437114715576,4.412961006164551,4.326351165771484,4.342623233795166,4.342623233795166,270796645,LINK-USD
2020-06-07,4.343420028686523,4.400476932525635,4.238164901733398,4.34993314743042,4.34993314743042,282338155,LINK-USD
2020-06-08,4.34972620010376,4.45782995223999,4.329157829284668,4.45782995223999,4.45782995223999,283855463,LINK-USD
2020-06-09,4.459242820739746,4.483732223510742,4.38678503036499,4.450149059295654,4.450149059295654,305409412,LINK-USD
2020-06-10,4.450753211975098,4.4513468742370605,4.339416027069092,4.4203009605407715,4.4203009605407715,294672252,LINK-USD
2020-06-11,4.420209884643555,4.455309867858887,3.936310052871704,3.9712119102478027,3.9712119102478027,352495642,LINK-USD
2020-06-12,3.976335048675537,4.178534984588623,3.8941409587860107,4.090941905975342,4.090941905975342,327861604,LINK-USD
2020-06-13,4.091304779052734,4.124667167663574,4.0223870277404785,4.11465311050415,4.11465311050415,268974930,LINK-USD
2020-06-14,4.114292144775391,4.11690616607666,3.9550130367279053,3.9550130367279053,3.9550130367279053,259255316,LINK-USD
2020-06-15,3.9550130367279053,3.993211030960083,3.679600954055786,3.9339029788970947,3.9339029788970947,368088618,LINK-USD
2020-06-16,3.9327309131622314,4.084105014801025,3.901948928833008,4.0487141609191895,4.0487141609191895,300222404,LINK-USD
2020-06-17,4.04899787902832,4.170400142669678,3.995388984680176,4.163669109344482,4.163669109344482,319675762,LINK-USD
2020-06-18,4.163669109344482,4.233524799346924,4.118673801422119,4.168980121612549,4.168980121612549,299551097,LINK-USD
2020-06-19,4.166748046875,4.188111782073975,4.0538649559021,4.079961776733398,4.079961776733398,285917523,LINK-USD
2020-06-20,4.079961776733398,4.213245868682861,4.051276206970215,4.170770168304443,4.170770168304443,300428191,LINK-USD
2020-06-21,4.172563076019287,4.210525989532471,4.153770923614502,4.189149856567383,4.189149856567383,260111856,LINK-USD
2020-06-22,4.189326763153076,4.470361232757568,4.185729026794434,4.4679341316223145,4.4679341316223145,354320997,LINK-USD
2020-06-23,4.464268207550049,4.943842887878418,4.407520771026611,4.8062520027160645,4.8062520027160645,524401734,LINK-USD
2020-06-24,4.808690071105957,4.9341559410095215,4.547306060791016,4.719017028808594,4.719017028808594,477169366,LINK-USD
2020-06-25,4.714187145233154,4.8244309425354,4.547369956970215,4.814206123352051,4.814206123352051,417488409,LINK-USD
2020-06-26,4.811047077178955,4.860595226287842,4.662483215332031,4.680805206298828,4.680805206298828,366958108,LINK-USD
2020-06-27,4.679469108581543,4.701204776763916,4.373350143432617,4.426551818847656,4.426551818847656,348981374,LINK-USD
2020-06-28,4.426551818847656,4.629578113555908,4.376414775848389,4.563483238220215,4.563483238220215,329798147,LINK-USD
2020-06-29,4.567780017852783,4.6526780128479,4.445292949676514,4.617929935455322,4.617929935455322,321184231,LINK-USD
2020-06-30,4.61474609375,4.66851806640625,4.554086208343506,4.569189071655273,4.569189071655273,287882848,LINK-USD
2020-07-01,4.568796157836914,4.740478992462158,4.530694007873535,4.698256015777588,4.698256015777588,320994716,LINK-USD
2020-07-02,4.709296226501465,4.912622928619385,4.670608043670654,4.846618175506592,4.846618175506592,429438118,LINK-USD
2020-07-03,4.848127841949463,4.90726900100708,4.7294230461120605,4.744166851043701,4.744166851043701,348151084,LINK-USD
2020-07-04,4.741215229034424,4.8491129875183105,4.722372055053711,4.804557800292969,4.804557800292969,312019710,LINK-USD
2020-07-05,4.808465957641602,4.837005138397217,4.647282123565674,4.7421698570251465,4.7421698570251465,319512653,LINK-USD
2020-07-06,4.7421698570251465,5.385353088378906,4.73743200302124,5.365053176879883,5.365053176879883,579868604,LINK-USD
2020-07-07,5.355996131896973,5.856581211090088,5.3242411613464355,5.712817192077637,5.712817192077637,743372951,LINK-USD
2020-07-08,5.713980197906494,6.51307487487793,5.633351802825928,6.475725173950195,6.475725173950195,942253863,LINK-USD
2020-07-09,6.475725173950195,6.4820661544799805,5.799435138702393,6.104310989379883,6.104310989379883,726623133,LINK-USD
2020-07-10,6.101553916931152,6.177725791931152,5.750669002532959,6.138474941253662,6.138474941253662,594988189,LINK-USD
2020-07-11,6.138028144836426,6.240691184997559,6.00269079208374,6.119687080383301,6.119687080383301,434708823,LINK-USD
2020-07-12,6.114736080169678,7.317674160003662,6.110083103179932,7.309183120727539,7.309183120727539,949141174,LINK-USD
